구분,code,type,severity,source_system,instance,index,대상,알람/이벤트 내용,현재 구현 여부,감지 방식 설명
알람,CIMS-COM-001,connection_lost,major,SIG_SVR_01,CSP,1,DB,"DB connection lost(IP, Port, database, user)",구현,"전용 probe 연결 mysql_ping — 10s 주기·timeout 3s, 3연속 실패 시 down 전이 / 응답 복구 시 close (DbManager.cpp HealthProbeLoop, 훅 CspServer.cpp:315)"
이벤트,-,process_started,-,SIG_SVR_01,CSP,1,,CSP 기동 완료,구현,"kind=stateChange. 기동 완료 시 1회 발신, 미등록 구간 32건 버퍼 후 flush (CspServer.cpp:364)"
이벤트,-,process_stopping,-,SIG_SVR_01,CSP,1,,CSP 종료 시작(graceful),구현,kind=stateChange. SIGTERM graceful 종료 진입 시 발신 (CspServer.cpp:515)
알람,CIMS-COM-001,connection_lost,major,SIG_SVR_01,CSP,1,CMP_01,"CMP endpoint connection lost(IP, Port) — 해당 노드 신규 세션 배정 제외",후보,HEARTBEAT(3s 주기) 3연속 무응답 → DEAD 전이(EndpointHealth.bLive) / RECOVERED 시 close. endpoint 마다 개별 발화. 전이 훅 기성 (CmpClient.cpp:1321-1339)
알람,CIMS-COM-001,connection_lost,critical,SIG_SVR_01,CSP,1,CMP,전체 CMP 두절(live endpoint 0) — 신규 미디어 배정 전면 불가,후보,"live endpoint 수 0 전이(m_bConnected, CmpClient.cpp:1361-1381). 초기값 false 라 부팅부터 down 이면 전이 미발생 — endpoint 단위 live 수 재계산으로 판정"
알람,CIMS-COM-001,connection_lost,major,SIG_SVR_01,CSP,1,CMDP_01,"CMDP connection lost(IP, Port) — 대용량 SDS MSRP 세션 전량 실패(500)",후보,HEARTBEAT 3연속 실패 전이는 존재하나 SetConnectionCallback 이 미배선 (CmdpClient.cpp:393-407 / McDataMediaService.cpp:29)
알람,CIMS-COM-001,connection_lost,major,SIG_SVR_01,CSP,1,PEER_01,트렁크/IBCF peer 두절(remote_node) — 해당 경로 호 소통 불가,후보(선행 필요),"감지 코드 없음 — MarkAlive/MarkFail 호출자 0건, RouteRuntime.alive 항상 true(CspRouteMap.cpp:148/164). OPTIONS keepalive 프로버 신설 선행"
알람,CIMS-COM-001,connection_lost,major,SIG_SVR_01,CSP,1,,CSC 연동용 UDP 포트 바인딩 실패(4421) — 가입자/그룹 변경 통지 수신 불가,후보,bind 실패 시 리스너 스레드가 조용히 종료(CscInterface.cpp:111-114). Start() 가 bind 결과와 무관하게 true 반환하는 결함 동반 수정 필요
알람,CIMS-COM-001,connection_lost,minor,SIG_SVR_01,CSP,1,,Redis(등록 상태 복제) 연결 실패 — HA cold-mode 강등,후보(선행 필요),연결/AUTH/PING 실패 지점 존재(RedisStore.cpp:53-80)나 재접속 루프가 없어 close 전이 불가 — 재접속 루프 신설 선행
알람,CIMS-PRC-002,resource_failure,major,SIG_SVR_01,CSP,1,DB,DB 쿼리 지속 실패(권한/스키마/락) — 연결은 정상,후보,ExecuteQuery/ExecuteSelect 단일 지점의 연속 실패율 임계 전이(DbManager.cpp:196-211). mysql_ping probe 로는 검출 불가한 구간 — COM-001 과 상보
알람,CIMS-PRC-002,resource_failure,minor,SIG_SVR_01,CSP,1,DB,가입자/그룹 전량 재적재 실패 — 프로비저닝 반영 정지(맵 stale),후보,"60s 주기 LoadAllUsers/LoadAllGroups 연속 실패 전이(DbManager.cpp:440-457, 601-607). 현재 호출자가 반환값을 전부 무시"
알람,CIMS-PRC-002,resource_failure,major,SIG_SVR_01,CSP,1,,flow/SIP 로그 파일 쓰기 실패 — 배치 전량 폐기(호 추적 불가),후보,"writer 스레드 배치 파일 open 실패 연속 N회 전이 / 성공 시 close. 현재 완전 silent, fwrite 반환값 미검사 (SipMessageLogger.cpp:718-724). 큐 상한 20만 줄 초과 drop 카운터(m_ulDroppedLogs)를 params 로 병합"
알람,CIMS-PRC-002,resource_failure,critical,SIG_SVR_01,CSP,1,,호이력(CDR) 파일 쓰기 실패 — 과금/이력 유실,후보,"CallDir 전 쓰기 지점이 silent(_atomicWrite 의 fwrite/rename 반환 미검사, CallDir.h:752). 공용 쓰기 헬퍼 1곳에 실패 카운터를 두고 전이 판정. CDR 은 전부 파일 기반(DbManager 의 InsertCallLog 등은 no-op)"
알람,CIMS-PRC-002,resource_failure,major,SIG_SVR_01,CSP,1,,그룹 파일 디렉터리 읽기 실패(DB fallback 모드) — 그룹 서비스 전면 불가,후보,GroupMap.ReadDir 실패 전이(GroupMap.cpp:56-65). 현재 호출자가 반환값을 무시
알람,(신규),listener_unavailable,major,SIG_SVR_01,CSP,1,,"SIP 리스너 개설 실패(proto, port) — TLS 인증서 로드 실패 포함. 해당 접속점만 서비스 불가",후보,리스너 Sync 시 add 실패 전이(CspListenerManager.cpp:191-192). 리스너마다 개별 발화. 설정 reload 마다 재평가되어 open/close 자연 발생
알람,(신규),config_invalid,minor,SIG_SVR_01,CSP,1,,설정 참조 무결성 위반 N건 — 해당 route/service/policy 영구 비활성,후보,"jsonl reload 시 dangling reference 집계 전이(CspRouteMap.cpp:100-116, CspRouteSetMap/CspServiceMap/CspRuleEvaluator/CspAclPolicyEngine/CspLocalNodeMap/CspRemoteNodeMap + floor_policy 강등 CmpClient.cpp:46-62). 위반 0건이면 close"
알람,(신규),overload,major,SIG_SVR_01,CSP,1,,제어평면 과부하 — 신규 요청 차단 발동,후보(선행 필요),과부하 감지/차단 로직 자체가 미구현. 현재 프록시 지표는 로그 drop 카운터와 CMP 요청 타임아웃율(카운터 신설 필요)뿐
이벤트,-,ha_role_changed,-,SIG_SVR_01,CSP,1,,HA 역할 전이(active↔standby),후보,kind=stateChange. VIP 소유 변화로 3s 주기 판정하는 전이 훅 기성(m_bLastActiveRole — CmpClient.cpp:940-959)
이벤트,-,config_reloaded,-,SIG_SVR_01,CSP,1,,"설정 재적재 완료(collection, 반영 건수)",후보,kind=stateChange. SIGUSR1 reload 완료 시점(CspServer.cpp:441-465). wire 규격은 alarm_self_reporting §3.1 예시로 이미 정의
이벤트,-,db_fallback_entered,-,SIG_SVR_01,CSP,1,DB,DB 장애로 파일(User/Group JSON) fallback 모드 진입,후보(선행 필요),kind=stateChange. 런타임 전환 지점이 없음 — fallback 분기는 기동 시 1회만 평가(CspServer.cpp:325-345)
이벤트,-,db_fallback_exited,-,SIG_SVR_01,CSP,1,DB,DB 복구로 fallback 모드 해제(DB primary 복귀),후보(선행 필요),kind=stateChange. 위와 동일 — 런타임 전환 코드 신설 선행
이벤트,-,csc_resync_requested,-,SIG_SVR_01,CSP,1,CSC_01,CSC 재기동에 의한 가입자/그룹 전량 재동기 수행,후보,kind=audit. CSC_RESTART 수신 처리(CscInterface.cpp:278-288)
이벤트,-,listener_added,-,SIG_SVR_01,CSP,1,,"SIP 리스너 추가(proto, port) — 무중단 접속점 변경",후보,kind=audit. 리스너 Sync 의 add 성공 지점(CspListenerManager.cpp:183-189)
이벤트,-,listener_removed,-,SIG_SVR_01,CSP,1,,"SIP 리스너 제거(proto, port) — 무중단 접속점 변경",후보,kind=audit. 리스너 Sync 의 remove 지점(CspListenerManager.cpp:168-169)
이벤트,-,group_config_changed,-,SIG_SVR_01,CSP,1,,그룹 설정 변경 반영(gid — CSC 통지 기인),후보,kind=audit. GROUP_CHANGED 수신 처리(CscInterface.cpp:205-218 → GroupCallService.cpp:1103-1112). 발생 빈도가 높아 이벤트 보존 정책 확인 필요
알람,CIMS-QOS-002,resource_exhausted,major,MED_SVR_01,CMP,1,,"미디어 자원 풀 완전 고갈(pool, used, total) — 신규 할당 불가(NO_RESOURCE)",구현,"fmMonitorLoop(1s)가 rtp/ptt_floor/ptt_member 3개 풀의 free==0 전이 감시 / 여유 회복 시 close (PCmpServer.cpp:160-190). 풀마다 개별 발화. 한계: total<=0 풀은 판정 제외(:181) — 전량 bind 실패 시 무알람, relay 분모는 설정값이라 실측과 불일치(:168)"
이벤트,-,process_started,-,MED_SVR_01,CMP,1,,CMP 기동 완료,구현,kind=stateChange. 기동 완료 시 발신(PCmpServer.cpp:150)
이벤트,-,process_stopping,-,MED_SVR_01,CMP,1,,CMP 종료 시작(graceful),구현,kind=stateChange. SIGTERM 처리(PCmpServer.cpp:195). SIGINT/SIGQUIT 는 미처리 — 유실
알람,(신규),capacity_degraded,major,MED_SVR_01,CMP,1,,"RTP/PTT 포트 풀 부분·전량 bind 실패 — 설정 대비 용량 축소(pool, configured, actual)",후보,"기동 시 bind 실패 소켓은 로그만 남기고 제외(PCmpServer.cpp:1794-1870) — 풀 실제 크기 vs 설정값 1회 비교로 판정. 현행 QOS-002 의 total<=0 사각지대(PTT 전량 실패 무알람)를 함께 커버"
알람,CIMS-PRC-002,resource_failure,major,MED_SVR_01,CMP,1,,flow/msg 로그 파일 쓰기 실패 — 배치 전량 폐기(호 추적 불가),후보,"writer 배치 fopen 실패 시 무로그 폐기 + fwrite 반환 미검사(PCmpServer.cpp:2347-2349). 큐 상한 20만 초과 drop 카운터(_logDropped) 소비자 0 — params 병합. 연속 실패 전이"
알람,CIMS-PRC-002,resource_failure,critical,MED_SVR_01,CMP,1,,녹취 파일 쓰기/개설 실패 — 녹취 유실,후보,"트랙 fopen 실패 로그만·fp=NULL 지속(PSyncRtpRecorder.cpp:167-181), fwrite/세그먼트 메타/인덱스 쓰기 반환 전부 미검사 silent(:249-251, :405-419). self_reporting §9 명시 후보 — fmMonitorLoop 집계 훅"
알람,(신규),worker_unavailable,critical,MED_SVR_01,CMP,1,,RTP 리액터 스레드 미기동/사망 — 해당 워커 소켓 전면 무중계,후보,"epoll 생성 실패 시 스레드 즉시 종료(PCmpServer.cpp:47-51, :1771-1774), epoll_wait 오류 시 break(:1781). 포트는 bind 돼 있어 L1/L3 모두 미검출 — 워커 alive 플래그 신설로 전이"
알람,CIMS-COM-001,connection_lost,major,MED_SVR_01,CMP,1,CSP_01,CSP 제어채널 무통신(HEARTBEAT 두절) — 제어/통지 단절,후보(선행 필요),"마지막 수신 시각 필드 자체가 없음 — 타임스탬프 + fmMonitorLoop 판정(예 15s 무수신) 신설 선행. CSP 측 대칭 관측(CMP endpoint 두절)은 CSP 행에 기존재"
알람,(신규),resource_leak,minor,MED_SVR_01,CMP,1,,고아 세션 sweeper 회수 지속 — CSP↔CMP 세션 정합 이상,후보,"orphan/hold 회수 카운터 기성(PCmpServer.cpp:1995-2076, STATS 노출) — 최근 창 N건 이상 전이만 추가. 절체·CSP 이상의 CMP 측 유일 신호"
알람,(신규),config_invalid,minor,MED_SVR_01,CMP,1,,설정 오류로 기능 비활성(ServiceLogDir 미설정 → flow/호이력 로깅 전면 꺼짐 등),후보,"기동 시 1회 판정(설정 재적재 경로 없음 — sticky). JSON 파싱 실패 시 전 항목 기본값으로 조용히 진행하는 것도 동일 클래스"
알람,CIMS-PRC-002,resource_failure,major,MED_SVR_01,CMDP,1,,FD 스토어 저장 실패 — 수신 SDS/FD 유실,구현,"MSRP 수신 완료 시 Store() 실패/성공 전이(PCmdpServer.cpp:740-750). 한계 2건: ①트래픽 구동 판정 — 무트래픽 구간 미탐·알람 stale ②write 결과 미검사로 ENOSPC 가 성공 처리(PFdStore.cpp:71-83) — 접근 불가 probe 행과 결함 수정으로 보강"
이벤트,-,process_started,-,MED_SVR_01,CMDP,1,,CMDP 기동 완료,구현,kind=stateChange (PCmdpServer.cpp:146)
이벤트,-,process_stopping,-,MED_SVR_01,CMDP,1,,CMDP 종료 시작(graceful),구현,kind=stateChange. SIGTERM 처리(PCmdpServer.cpp:152)
알람,(신규),listener_unavailable,critical,MED_SVR_01,CMDP,1,,MSRP 리스너/리액터 사망 — MSRP 수신 전면 불가(제어채널은 정상 응답),후보,"epoll 등록 실패에도 startServer 는 true 반환(PCmdpServer.cpp:109-115), epoll_wait 오류 시 break 로 리액터 종료(:837-843) — HEARTBEAT 는 OK 라 L3 미검출. 기동 1회 판정 + 리액터 liveness"
알람,CIMS-COM-001,connection_lost,major,MED_SVR_01,CMDP,1,CSP_01,CSP 이벤트 채널 ack 소진 지속 — 수신 완료 통지 유실,후보,"재전송 1s×5 소진 drop(PCmdpServer.cpp:545-560) 연속 N건 → open / ack 수신(:216-220) close. CSP endpoint 미학습 폐기(:513-518)는 params 병합. cmdp 는 heartbeat 를 발신하지 않아 이것이 유일한 피어 두절 관측점"
알람,CIMS-PRC-002,resource_failure,major,MED_SVR_01,CMDP,1,,서비스 로그(flow/msg) 배치 쓰기 실패,후보,"fopen 실패 continue 무로그 + fwrite 미검사(PCmdpServer.cpp:1198-1200), 버킷 mkdirP 반환 무시(:1089). 큐 drop(_logDropped — STATS 만 노출) params 병합"
알람,CIMS-QOS-002,resource_exhausted,major,MED_SVR_01,CMDP,1,,MSRP 연결 수 포화(상한 1024) — 신규 연결 거절,후보,"kMaxConnections 도달 시 즉시 close 거절(PCmdpServer.cpp:580-585) — open 훅 기성, close 는 timeoutLoop 재평가 1줄. STATS.connections 노출 중"
알람,CIMS-PRC-002,resource_failure,major,MED_SVR_01,CMDP,1,,FD 스토어 접근 불가(마운트 상실·읽기 실패·미설정 기동),후보,"무트래픽에도 판정하도록 timeoutLoop 에 스토어 probe(stat+write test) 신설. 읽기(LoadRaw) 실패는 현재 세션당 NOT_FOUND 뿐(PCmdpServer.cpp:391-396), 스토어 미설정 store=off 기동은 INFO 1줄(:977-981)"
알람,CIMS-QOS-002,resource_exhausted,minor~critical(단계),MED_SVR_01,CMDP,1,,FD 스토어 파티션 용량 임계,후보(선행 필요),"statvfs 검사 없음 — McDataFd.Dir 는 CSC 와 공유하는 NAS 경로라 host disk metric(agent QOS-001)이 미커버. GC(retention) 부재로 소진 개연성 높음"
알람,(신규),config_invalid,minor,MED_SVR_01,CMDP,1,,설정 무결성 위반(deployment overlay 미적용·MsrpIp 미설정 loopback 광고),후보,"overlay 열기/파싱 실패 무로그 break(PCmdpServer.cpp:947-955), MsrpIp 미설정 시 127.0.0.1 광고(:975) → 전 세션 orphan. 기동 1회 판정"
이벤트,-,csp_control_peer_changed,-,MED_SVR_01,CMDP,1,CSP_01,CSP 제어 피어 변경(재기동/절체 관측),후보,kind=audit. 제어 datagram 소스 학습·변경 지점 훅 기성(PCmdpServer.cpp:240-245)
알람,CIMS-COM-001,connection_lost,major,SUB_SVR_01,CSC,1,DB,"DB connection lost(IP, Port, database, user)",구현,"DbHealthProbe — pymysql 전용 연결 10s 주기, 3연속 실패 전이 / 복구 close(fm_reporter.py:274-313). 한계: CimsDatabase.Host 빈값이면 판정 보류 — DB 미구성이 무알람(설정 무결성 행 참조)"
이벤트,-,process_started,-,SUB_SVR_01,CSC,1,,CSC 기동 완료,구현,kind=stateChange (csc_app.py 기동 완료 시)
이벤트,-,process_stopping,-,SUB_SVR_01,CSC,1,,CSC 종료 시작(graceful),구현,kind=stateChange. SIGTERM 처리
이벤트,-,config_change,-,SUB_SVR_01,CSC,1,,설정/데이터 변경 감사,선언만(호출 0),"kind=audit. fm_catalog 에 선언됐으나 audit_config_change 호출자 0건 — 가입자/그룹/조직 CUD 18개 지점에 배선 필요 + mo 규약 교정(현재 cims/csp/config/* 오기재·노드 세그먼트 없음, mcptt.py:697)"
