기능,행,구분,code,type,severity,source_system,instance,index,대상,component,조건/내용,message,영향,권장 조치,근거,현재 구현 여부,감지 방식 설명
공통,정의,알람,A-PRC-001,process_down,critical,,,,,,기능 프로세스 소멸,Process {module} is down on {node},해당 노드의 그 기능 전면 중단(HA 미구성 시 서비스 단절),프로세스 재기동·코어/로그 확인·HA 절체 상태 점검,vIBCF A0011 / X.733,,
,감지,알람,A-PRC-001,process_down,critical,SIG_SVR_01,AGENT,1,MODULE,,모듈 프로세스 소멸(module) — 해당 모듈 기능 중단,,,,,구현,agent 실행집합(pgrep) 2s 관측 metric → OAM base 평가(check=module_down). 배포 기록에 있는 모듈만 평가(console/agent 는 OAM 측 제외). 모듈마다 개별 발화(mo=<host>/<module>)
공통,정의,알람,A-PRC-004,process_unresponsive,major,,,,,,프로세스 생존인데 서비스/제어 응답 불능(hang),Service {module} is not responding ({fails} consecutive probe timeouts),외견상 정상이나 처리 정지 — 호처리 영향 가능,부하·스레드 상태 확인(process_down 동반 여부)·필요 시 재기동,vIBCF A0086,,
,감지,알람,A-PRC-004,process_unresponsive,major,SIG_SVR_01,AGENT,1,MODULE,,모듈 생존+응답 불능(zombie) — 노드 로컬 readiness 실패 지속,,,,,후보,agent health check(liveness/readiness/HTTP probe) 결과가 HA verdict 로만 소비(run/ha/health) — metric 요약 필드 + rule 신설. zombie(_ever_ready True)와 start_failed 는 코드가 명시 분리(:3321) — 이 행은 zombie 한정(start 실패는 crash_loop(start)·redundancy_degraded(ha/eligible) 행). L1(생존)·L3(원격 probe)가 못 나누는 사각의 노드 로컬 정본
,감지,알람,A-PRC-004,process_unresponsive,major,MGMT_SVR_01,OAM-SVC,1,CSP_01,,CSP 관리 프로브(STATS) 무응답 — 제어/관측 불가,,,,,구현,"UDP STATS probe(check=process_unresponsive, target=csp, mo=관측 신원 합성 — 노드 주소=<서버명>/csp·VIP=<그룹명>/csp). --role all 단일 프로세스에선 base 대행(detected_by=oam). 한계 3건: ①CspNotify 미설정 시 기본 127.0.0.1 probe — 미배포 노드 영구 오탐 ②연속 실패 디바운스 없음 — 1회 miss 즉시 open(DB probe 3연속 표준과 불일치, csp 는 last-good 도 없음 stats.py:158-169) ③'무응답'과 '대상 미설정' 미구분"
,감지,알람,A-PRC-004,process_unresponsive,major,MGMT_SVR_01,OAM-SVC,1,CMP_01,,CMP 관리 프로브(STATS) 무응답,,,,,구현,"CMP endpoint 마다 개별 발화(mo=endpoint 소유 <서버명>/cmp — 동일 서버 다중 endpoint 는 루트에 :port 접미). endpoint 목록 공집합이면 평가 skip + 기존 열린 알람 stale reap close(관측 공백 행 참조 — close 메시지가 msg_close '정상화' 우선이라 '관측 제외 정리' 폴백 :287-288 은 거의 미사용, 로그상 정상화로만 보임). 한계: _probe_cmp 가 config 파라미터 없이 호출(alarm_sweeper.py:232) — MediaServer.ProbeTimeout/Attempts/LastGoodTtlSec 무시·기본 last-good 30s 고정(down 판정 최대 30s 지연·설정 조정 불가)"
,감지,알람,A-PRC-004,process_unresponsive,major,MGMT_SVR_01,OAM,1,,gateway/<segment>,게이트웨이 upstream(loopback 모듈) 무응답 — base 의 oam-svc/csc L3 관측,,,,,후보,_upstream_alive 가 GET /gateway/health 요청 시에만 실행(handlers/gateway.py:468-500) — 스위퍼 주기 호출로 전환하면 세그먼트별 open/close. 실제 프록시 실패는 요청 단위 502/504(:282-287)뿐. base 가 oam-svc/csc 를 관측하는 유일한 L3 채널. 라우트 미탑재(mount failed log_error 진행 oam_app.py:993-997·unmount/reconcile skip :388/:406/:442 — 세그먼트 전면 404)는 params 구분
공통,정의,알람,A-PRC-005,crash_loop,major,,,,,,재기동 반복 소진 또는 기동 반복 실패(한 번도 못 뜸),Process {module} is crash-looping: {count} restarts within {window}s,불안정 지속 — 자동 복구 무한 루프,직전 변경(배포/설정) 회귀 검토·코어/기동 로그 확인,X.733,,
,감지,알람,A-PRC-005,crash_loop,major,SIG_SVR_01,AGENT,1,MODULE,,모듈 재기동 반복 소진(restart_exhausted) — 불안정 지속,,,,,후보,"window/max_fails 판정 기성 — 값은 ha.json.restart_limit(기본 3회/300s, _restart_limit_for :3083-3086)·fail 카운터 영속(run/ha/fail_<mod> :3935-3960). PRC-001 open/close 반복으로는 불안정이 표현 안 됨 — metric 필드+rule 신설. 사각: _fail_bump 가 was_up 조건(:3615)이라 한 번도 뜬 적 없는 모듈은 미카운트 → start 반복 실패는 별 행(module/start 행)"
,감지,알람,A-PRC-005,crash_loop,major,SIG_SVR_01,AGENT,1,MODULE,start,reconcile start 반복 실패 — 한 번도 뜬 적 없는 모듈(설정 오류 등),,,,,후보,"rc≠0 반복 + _RECONCILE_BACKOFF 지수(상한 300s, :3623-3635 — in-memory·print 만). crash_loop(was_up 전제)의 사각 커버 — backoff 상한 도달 지속 전이"
