기능,구분,code,type,severity,대상,component,조건,message,영향,권장 조치,근거
공통,알람,A-PRC-001,process_down,critical,,,기능 프로세스 소멸,Process {module} is down on {node},해당 노드의 그 기능 전면 중단(HA 미구성 시 서비스 단절),프로세스 재기동·코어/로그 확인·HA 절체 상태 점검,vIBCF A0011 / X.733
공통,알람,A-PRC-004,service_unresponsive,major,,,프로세스 생존인데 서비스/제어 응답 불능(hang),Service {module} is not responding ({fails} consecutive probe timeouts),외견상 정상이나 처리 정지 — 호처리 영향 가능,부하·스레드 상태 확인(process_down 동반 여부)·필요 시 재기동,vIBCF A0086
공통,알람,A-PRC-005,crash_loop,major,,,재기동 반복 소진 또는 기동 반복 실패(한 번도 못 뜸),Process {module} is crash-looping: {count} restarts within {window}s,불안정 지속 — 자동 복구 무한 루프,직전 변경(배포/설정) 회귀 검토·코어/기동 로그 확인,X.733
공통,알람,A-QOS-001,threshold_crossed,minor~critical(단계),,host/<res>,호스트 자원(CPU/MEM/DISK/load) 사용률 단계 임계,"{resource} usage is {observed}% (CRI:{crit}, MAJ:{maj}, MIN:{min})",추가 부하 시 처리 실패·OOM/디스크 고갈 위험,원인 프로세스 식별·정리/증설·보존기간 조정(디스크),vIBCF A0012~14
공통,알람,A-QOS-003,threshold_crossed,minor~major(단계),,ntp,NTP offset/delay 단계 임계 초과(동기는 유지),"NTP {metric} is {observed}ms (MAJ:{maj}, MIN:{min})",시각 정밀도 열화 — 알람 시각·CDR·녹취·로그 상관 왜곡 진행,NTP 서버 연동/네트워크 지연 확인·시각원 점검,vIBCF A0041~42
공통,알람,A-COM-014,connection_lost,major,NTP,ntp,NTP 시각원 동기 상실(unsynchronized·시각원 도달 불가),"NTP synchronization lost (source {server}, {detail})",시각 표류 진행 — 알람 시각·CDR·녹취·로그 상관의 정합 붕괴,NTP 데몬/서버 연동 상태 확인·시각원 점검,vIBCF A0043 / X.733(lossOfSynchronisation)
공통,알람,A-PRC-006,storage_failure,major,,service_log,서비스 로그(flow/msg) 기록 실패 지속,"Service log writes failing on {path} ({errno}, {count} consecutive)",호 추적/장애 분석 불가(무성 유실),로그 볼륨/권한/마운트 확인,X.733
공통,알람,A-PRC-007,config_invalid,major,,config,설정 결함·미설정·참조 무결성 위반으로 기능 비활성/오동작,Invalid configuration {key}: {detail} — function disabled or misbehaving,일부 기능이 조용히 꺼진 채 운영,설정 정본 대조·재적재/재기동,X.733
공통,알람,A-PRC-003,config_out_of_sync,warning,,config,배포 정본 대비 실행 설정 드리프트,"Running config drifted from deployment baseline (expected {expected}, actual {actual})",의도치 않은 동작·절체/재기동 시 동작 변화,드리프트 원인 확인 후 재실체화 또는 정본 갱신,3GPP 32.111
공통,알람,A-PRC-008,redundancy_degraded,major~critical,,ha,이중화 실질 소실(승격 불가·VIP 무보유/이중보유·절체 래치·절체 메커니즘 이상),Redundancy degraded: {reason} (no eligible standby / VIP not held or duplicated / failover latched),단일 장애점 상태 — 다음 장애 시 서비스 단절,부적격 사유 해소·VIP/절체 데몬 점검·래치 해제,vIBCF A0063 / X.733
